Selecao,Chance_de_Vitoria (%)
Argentina,84.0
Ecuador,51.0
Morocco,53.0
China,25.0
Croatia,57.0
Colombia,65.0
Spain,65.0
England,75.0
Turkey,31.0
USA,39.0
Austria,38.0
Poland,38.0
Australia,34.0
Brazil,68.0
Saudi Arabia,8.0
Portugal,67.0
England,79.0
Senegal,41.0
France,86.0
Tunisia,11.0
Germany,53.0
Germany,58.0
Ukraine,17.0
Italy,44.0
England,78.0
Peru,35.0
Brazil,49.0
Wales,25.0
England,74.0
England,52.0
Portugal,45.0
Spain,72.0
Sweden,36.0
Brazil,60.0
Brazil,70.0
Saudi Arabia,38.0
Portugal,29.0
Italy,52.0
Spain,68.0
France,84.0
Nigeria,14.0
South Korea,29.0
Cameroon,13.0
Switzerland,54.0
Iran,26.0
Japan,44.0
Argentina,69.0
Japan,45.0
Algeria,15.0
France,82.0
Iran,24.0
Ukraine,30.0
South Korea,51.0
USA,62.0
New Zealand,19.0
France,78.0
Switzerland,47.0
Colombia,39.0
Ecuador,47.0
Denmark,47.0
Paraguay,23.0
France,86.0
France,84.0
Serbia,37.0
France,82.0
Netherlands,45.0
Poland,40.0
Morocco,54.0
Italy,50.0
Honduras,31.0
South Korea,28.0
USA,53.0
Serbia,45.0
Argentina,64.0
Ecuador,58.0
Wales,30.0
Sweden,29.0
Tunisia,12.0
Ghana,21.0
Germany,47.0
USA,72.0
Germany,64.0
Croatia,70.0
USA,59.0
Colombia,57.0
Argentina,87.0
Mexico,54.0
Austria,49.0
Uruguay,52.0
England,61.0
Egypt,23.0
France,78.0
Jamaica,14.0
Argentina,82.0
Argentina,83.0
Nigeria,9.0
Costa Rica,32.0
Morocco,50.0
Australia,61.0
Senegal,53.0
Italy,80.0
England,79.0
Croatia,53.0
Austria,46.0
Cameroon,14.0
Ukraine,24.0
Ghana,17.0
New Zealand,19.0
Australia,46.0
Croatia,58.0
Senegal,61.0
Germany,44.0
Sweden,40.0
Germany,73.0
Argentina,69.0
Turkey,20.0
Uruguay,63.0
Tunisia,25.0
Senegal,56.0
Qatar,13.0
Turkey,20.0
China,21.0
Costa Rica,34.0
Serbia,43.0
Sweden,44.0
Brazil,71.0
Egypt,18.0
Jamaica,30.0
Netherlands,62.0
Spain,72.0
Ecuador,44.0
Belgium,51.0
Croatia,48.0
Brazil,69.0
Ukraine,34.0
Senegal,34.0
Colombia,35.0
England,68.0
Poland,54.0
Brazil,75.0
Cameroon,20.0
Germany,72.0
Mexico,56.0
Croatia,58.0
Uruguay,51.0
Ghana,26.0
Iran,22.0
Senegal,47.0
Argentina,69.0
France,77.0
England,65.0
Serbia,35.0
Austria,51.0
Netherlands,53.0
Sweden,39.0
Denmark,53.0
USA,61.0
Netherlands,65.0
Cameroon,26.0
Argentina,77.0
Mexico,44.0
Netherlands,46.0
Austria,48.0
Denmark,42.0
Austria,52.0
France,83.0
Colombia,71.0
Australia,54.0
Brazil,77.0
Belgium,47.0
Germany,53.0
England,77.0
Portugal,53.0
Italy,49.0
Brazil,60.0
Cameroon,20.0
Spain,66.0
Uruguay,54.0
Canada,38.0
Japan,45.0
Jamaica,36.0
Qatar,21.0
France,74.0
Wales,32.0
France,79.0
Brazil,74.0
Egypt,26.0
Wales,39.0
Senegal,53.0
Senegal,47.0
Canada,32.0
Colombia,70.0
Argentina,70.0
Brazil,84.0
Italy,58.0
Qatar,19.0
Serbia,49.0
Jamaica,29.0
Egypt,33.0
Argentina,77.0
Turkey,27.0
Portugal,39.0
Australia,49.0
South Korea,46.0
Colombia,48.0
Belgium,42.0
Croatia,55.0
Italy,57.0
Spain,76.0
Japan,38.0
Argentina,82.0
Japan,49.0
Paraguay,26.0
Croatia,51.0
Ghana,20.0
Costa Rica,25.0
Costa Rica,26.0
Portugal,61.0
England,86.0
Spain,80.0
Serbia,61.0
Tunisia,21.0
Sweden,39.0
Spain,80.0
Iran,25.0
Denmark,39.0
Cameroon,9.0
Tunisia,25.0
USA,50.0
Egypt,17.0
Senegal,35.0
Poland,56.0
Poland,33.0
Wales,18.0
Poland,41.0
England,70.0
France,82.0
USA,67.0
Belgium,54.0
Netherlands,43.0
France,72.0
Japan,60.0
Belgium,61.0
USA,55.0
France,81.0
Jamaica,34.0
France,86.0
Wales,20.0
Wales,29.0
Serbia,49.0
